FECHA;COMP.;CODIGO;CUENTA;CONCEPTO; DEBE ; HABER ;REFERENCIA
31/12/2023;73;1111001;Caja Principal;SALDO INICIALES;76.393,88;;SALDO INICIAL
31/12/2023;73;1111003;Caja en Moneda Extranjera;SALDO INICIALES;17.623,97;;SALDO INICIAL
31/12/2023;73;1112001;Banco Banesco;SALDO INICIALES;313,51;;SALDO INICIAL
31/12/2023;73;1112002;Banco BancaAmiga;SALDO INICIALES;136;;SALDO INICIAL
31/12/2023;73;1112003;Banco de Venezuela;SALDO INICIALES;32,26;;SALDO INICIAL
31/12/2023;73;1141002;Retención 75% IVA Clientes;SALDO INICIALES;2,36;;SALDO INICIAL
31/12/2023;73;1142003;ISLR Declaración Sustitutiva;SALDO INICIALES;498,55;;SALDO INICIAL
31/12/2023;73;1241080;API Activos Fijos;SALDO INICIALES;83.692,95;;SALDO INICIAL
31/12/2023;73;1242080;API Depreciación Acum. Activos Fijos;SALDO INICIALES;;78.578,38;SALDO INICIAL
31/12/2023;73;2121001;Débito Fiscal IVA;SALDO INICIALES;;0,06;SALDO INICIAL
31/12/2023;73;2121003;IVA por Pagar;SALDO INICIALES;;78.869,17;SALDO INICIAL
31/12/2023;73;2124004;Islr 1% por pagar;SALDO INICIALES;;361,81;SALDO INICIAL
31/12/2023;73;2124007;IGTF Percibido de clientes;SALDO INICIALES;;77,94;SALDO INICIAL
31/12/2023;73;2131002;Retenciones IVSS Empleados;SALDO INICIALES;;43,2;SALDO INICIAL
31/12/2023;73;2131003;Retenciones SPF Empleados;SALDO INICIALES;;5,4;SALDO INICIAL
31/12/2023;73;2131004;Retenciones FAOV Empleados;SALDO INICIALES;;23,4;SALDO INICIAL
31/12/2023;73;2131005;Retenciones INCES Empleados;SALDO INICIALES;;70,2;SALDO INICIAL
31/12/2023;73;2141001;Aportes IVSS Y SPF ;SALDO INICIALES;;106,2;SALDO INICIAL
31/12/2023;73;2141002;Aportes FAOV ;SALDO INICIALES;;23,4;SALDO INICIAL
31/12/2023;73;2141003;Aportes INCES ;SALDO INICIALES;;5,86;SALDO INICIAL
31/12/2023;73;2161004;Vacaciones por pagar;SALDO INICIALES;;132,33;SALDO INICIAL
31/12/2023;73;2161005;Utilidades por pagar;SALDO INICIALES;;134,67;SALDO INICIAL
31/12/2023;73;2241001;Prestaciones Sociales por Pagar;SALDO INICIALES;;269,33;SALDO INICIAL
31/12/2023;73;3121080;API Actualización Capital Social;SALDO INICIALES;;83.692,95;SALDO INICIAL
31/12/2023;73;3131001;Utilidadades Acumuladas;SALDO INICIALES;;14.877,56;SALDO INICIAL
31/12/2023;73;3131080;API Actualización de resultados;SALDO INICIALES;86.947,67;;SALDO INICIAL
31/12/2023;73;3141080;API Actualización Reservas de Capital;SALDO INICIALES;;8.369,29;SALDO INICIAL
15/1/2024;75;6121027;Gastos Medicos;FARMACIA VIZCAYA 26, C.A. ;297,66;;23258
15/1/2024;75;2114010;Otras Cuentas por Pagar ;FARMACIA VIZCAYA 26, C.A. ;;297,66;23258
15/1/2024;75;6121023;Comidas, Viajes y Traslados                       ;DISTRIBUIDORA 100XCIENTO VENEZUELA, C.A. ;250,25;;16742
15/1/2024;75;2114010;Otras Cuentas por Pagar ;DISTRIBUIDORA 100XCIENTO VENEZUELA, C.A. ;;250,25;16742
15/1/2024;75;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;90,9;;36253
15/1/2024;75;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;90,9;36253
15/1/2024;75;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;85,88;;44951
15/1/2024;75;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;85,88;44951
15/1/2024;75;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;1.953,43;;45381
15/1/2024;75;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;1.953,43;45381
15/1/2024;75;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;1.251,75;;36327
15/1/2024;75;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;1.251,75;36327
15/1/2024;75;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;327,03;;45070
15/1/2024;75;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;327,03;45070
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;931,25;1588
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;149;1588
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;1.080,25;;1588
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;1.707,13;1589
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;273,14;1589
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;1.980,27;;1589
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;1.939,88;1590
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;310,38;1590
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;2.250,26;;1590
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;3.026,17;1591
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;484,19;1591
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;3.510,36;;1591
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;2.327,81;1592
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;372,45;1592
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;2.700,26;;1592
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;2.793,24;1593
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;446,92;1593
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;3.240,16;;1593
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;2.560,84;1594
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;409,73;1594
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;2.970,57;;1594
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;2.281,52;1595
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;365,04;1595
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;2.646,56;;1595
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;3.499,77;1596
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;559,96;1596
